epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.07579,1.99348,0.33333,0.81159,1.88968,9.996e-05,9.996e-05,9.996e-05
2,15.4922,1.73441,0.63768,0.95652,1.40869,0.000201378,0.000201378,0.000201378
3,22.1818,1.36938,0.94203,0.98551,0.79265,0.000295648,0.000295648,0.000295648
4,28.9096,0.85161,0.97101,1,0.32317,0.000382772,0.000382772,0.000382772
5,35.5372,0.51735,0.98551,1,0.1463,0.000462748,0.000462748,0.000462748
6,42.2894,0.27183,0.98551,1,0.05154,0.000535577,0.000535577,0.000535577
7,48.989,0.17333,0.98551,1,0.04675,0.000601259,0.000601259,0.000601259
8,55.706,0.1231,0.98551,1,0.02588,0.000640577,0.000640577,0.000640577
9,62.3346,0.0923,0.98551,1,0.11521,0.000613088,0.000613088,0.000613088
10,68.8824,0.05383,0.98551,1,0.02258,0.000585599,0.000585599,0.000585599
11,75.5667,0.07028,0.98551,1,0.02809,0.00055811,0.00055811,0.00055811
12,82.3318,0.14004,0.98551,1,0.02272,0.000530621,0.000530621,0.000530621
13,89.1108,0.04613,0.98551,1,0.02281,0.000503132,0.000503132,0.000503132
14,96.7801,0.06952,0.98551,1,0.14964,0.000475643,0.000475643,0.000475643
15,104.324,0.06924,0.98551,1,0.02178,0.000448154,0.000448154,0.000448154
16,112.648,0.05023,0.98551,1,0.01905,0.000420665,0.000420665,0.000420665
17,120.795,0.17158,0.98551,1,0.0221,0.000393176,0.000393176,0.000393176
18,127.544,0.01385,0.98551,1,0.02196,0.000365687,0.000365687,0.000365687
19,134.281,0.05309,0.98551,1,0.02504,0.000338198,0.000338198,0.000338198
20,140.963,0.03024,0.98551,1,0.11109,0.000310709,0.000310709,0.000310709
21,147.803,0.04201,0.98551,1,0.02101,0.00028322,0.00028322,0.00028322
22,155.583,0.03437,0.98551,1,0.0154,0.000255731,0.000255731,0.000255731
23,162.38,0.01486,0.98551,1,0.01713,0.000228242,0.000228242,0.000228242
24,169.486,0.02636,0.98551,1,0.0185,0.000200753,0.000200753,0.000200753
25,176.461,0.10059,0.98551,1,0.01952,0.000173264,0.000173264,0.000173264
26,183.281,0.06285,0.98551,1,0.01759,0.000145775,0.000145775,0.000145775
27,190.505,0.16805,0.98551,1,0.01376,0.000118286,0.000118286,0.000118286
28,198.225,0.03063,0.98551,1,0.01923,9.0797e-05,9.0797e-05,9.0797e-05
29,205.173,0.13414,0.98551,1,0.01683,6.3308e-05,6.3308e-05,6.3308e-05
30,212.001,0.05881,0.98551,1,0.01329,3.5819e-05,3.5819e-05,3.5819e-05
